City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,katihar,25.5333,87.5833,301.79,24,21,2.99,IN,1683827324
84,minden,52.2833,8.9167,288.17,94,75,1.54,DE,1683827325
85,saipan,15.1355,145.701,300.54,100,40,3.09,MP,1683827326
86,igarka,67.4667,86.5833,258.75,84,13,8.03,RU,1683827327
87,rio grande,-32.035,-52.0986,292.21,69,67,5.32,BR,1683827329
88,dhidhdhoo,6.8833,73.1,302.43,74,100,3.48,MV,1683827137
89,puerto baquerizo moreno,-0.9,-89.6,301.7,84,40,6.17,EC,1683827330
90,opatow,50.8006,21.4254,284.93,68,83,6.58,PL,1683827331
91,mount pearl,47.5166,-52.7813,285.62,40,40,8.23,CA,1683827262
92,ghadamis,30.1337,9.5007,301.47,17,0,4.28,LY,1683827333
93,kavaratti,10.5669,72.642,302.64,72,80,2.0,IN,1683827333
94,grand falls-windsor,48.9332,-55.6649,286.21,34,22,4.92,CA,1683827067
95,viana do castelo,41.6932,-8.8329,289.98,65,0,10.47,PT,1683827334
96,chibougamau,49.9168,-74.3659,291.94,27,0,6.69,CA,1683827336
97,kattivakkam,13.2167,80.3167,303.2,85,100,1.31,IN,1683827336
98,macau,22.2006,113.5461,298.04,78,40,3.09,MO,1683827337
99,praia da vitoria,38.7333,-27.0667,292.46,100,75,5.26,PT,1683827337
100,bilibino,68.0546,166.4372,271.55,82,80,0.98,RU,1683827338
101,badiyah,22.45,58.8,307.17,19,0,3.33,OM,1683827338
102,satipo,-11.2522,-74.6386,299.97,73,97,0.82,PE,1683827339
103,bel ombre,-4.6167,55.4167,301.06,78,20,3.6,SC,1683827340
104,luza,60.6308,47.2512,283.23,73,93,1.95,RU,1683827340
105,island harbour,50.724,-1.2758,290.48,69,60,2.24,GB,1683827341
106,hamilton,39.1834,-84.5333,300.92,38,0,3.09,US,1683826643
107,cabo san lucas,22.8909,-109.9124,303.49,43,1,5.43,MX,1683827208
108,yatou,37.15,122.3833,287.85,54,100,3.39,CN,1683827343
109,iskateley,67.6803,53.1512,273.31,99,100,5.26,RU,1683827344
110,san felice circeo,41.2372,13.0942,292.29,74,8,0.89,IT,1683827346
111,georgetown,5.4112,100.3354,304.12,84,20,1.03,MY,1683827108
112,susuman,62.7833,148.1667,271.42,92,83,0.4,RU,1683827294
113,holualoa,19.6228,-155.9522,295.85,79,40,2.06,US,1683827351
114,mikun',62.3547,50.0771,281.61,68,76,2.23,RU,1683827353
115,smiltene,57.4244,25.9016,290.12,56,99,1.61,LV,1683827354
116,toliara,-23.35,43.6667,296.05,84,97,1.79,MG,1683827344
117,santa ana,33.7456,-117.8678,292.59,71,100,2.06,US,1683827037
118,borogontsy,62.6683,131.1683,269.55,73,100,1.92,RU,1683827357
119,ormara,25.2088,64.6357,301.61,76,0,7.21,PK,1683827358
120,afaahiti,-17.75,-149.2833,298.08,93,100,11.89,PF,1683827359
121,penapolis,-21.4197,-50.0775,300.4,51,68,4.35,BR,1683827360
122,westport,41.1415,-73.3579,300.31,34,0,6.17,US,1683827361
123,bengkulu,-3.8004,102.2655,298.8,85,75,2.07,ID,1683827362
124,isla mujeres,21.2311,-86.731,303.8,71,64,7.01,MX,1683827363
125,zouerate,22.7187,-12.4521,310.76,11,97,2.58,MR,1683827083
126,yanjiang,30.1211,104.6481,291.45,64,100,3.27,CN,1683827365
127,itamaraca,-7.7478,-34.8256,302.18,65,55,3.16,BR,1683827366
128,vilyuchinsk,52.9306,158.4028,274.3,93,100,3.16,RU,1683827368
129,utrik,11.2278,169.8474,300.42,81,95,8.1,MH,1683827311
130,porto novo,6.4965,2.6036,304.05,77,84,3.59,BJ,1683827371
131,kapuskasing,49.4169,-82.4331,294.2,43,75,6.69,CA,1683827241
132,tongchuanshi,35.0806,109.0897,287.56,53,98,2.56,CN,1683827374
133,udachny,66.4167,112.4,273.4,92,100,5.61,RU,1683827375
134,ruidoso,33.3317,-105.673,290.91,18,0,6.69,US,1683827376
135,tofol,5.3248,163.0078,298.96,85,99,0.93,FM,1683827377
136,wardha,20.75,78.6167,307.42,12,5,1.74,IN,1683827378
137,goondiwindi,-28.55,150.3167,285.45,84,19,4.34,AU,1683827378
138,zhangatas,43.5667,69.75,296.93,31,100,2.69,KZ,1683827379
139,tokar,18.4254,37.729,301.04,59,17,2.38,SD,1683827380
140,aki,33.5,133.9,287.12,64,72,2.34,JP,1683827380
141,ma'rib,15.4591,45.3253,304.14,18,44,4.01,YE,1683827381
142,bhainsdehi,21.6467,77.6325,304.03,11,39,1.29,IN,1683827381
143,san antonio de pale,-1.4014,5.6325,301.54,79,99,4.68,GQ,1683827382
144,progreso,21.2833,-89.6667,308.77,52,40,4.56,MX,1683827383
145,birao,10.2849,22.7882,304.8,41,100,1.34,CF,1683827383
146,alaghsas,17.0187,8.0168,310.09,16,54,7.2,NE,1683827384
147,guerrero negro,27.9769,-114.0611,290.42,64,99,9.2,MX,1683827384
148,taroa,8.7058,171.2275,300.91,81,84,7.55,MH,1683827385
149,mahuta,-10.8667,39.45,292.84,94,45,1.09,TZ,1683827385
150,flying fish cove,-10.4217,105.6791,300.97,89,100,5.14,CX,1683827386
151,margaret river,-33.95,115.0667,284.09,75,13,3.57,AU,1683827318
152,sierra grande,-41.606,-65.3557,293.65,40,46,1.79,AR,1683827387
153,ola,59.5833,151.2833,273.26,93,63,0.34,RU,1683827317
154,mount isa,-20.7333,139.5,286.02,47,0,4.12,AU,1683827388
155,manggar,-2.8833,108.2667,301.4,80,32,4.19,ID,1683827389
156,port alfred,-33.5906,26.891,290.47,88,91,6.52,ZA,1683827326
157,stanley,54.868,-1.6985,286.35,80,20,3.09,GB,1683827262
158,nar'yan-mar,67.6713,53.087,273.36,99,100,5.27,RU,1683827391
159,kamaishi,39.2667,141.8833,279.78,84,4,2.01,JP,1683827392
160,smirnovo,54.5125,69.4222,282.43,53,13,5.7,KZ,1683827392
161,horta,38.5333,-28.6333,293.95,72,20,5.81,PT,1683827393
162,murrells inlet,33.551,-79.0414,299.98,72,0,3.09,US,1683827394
163,benguela,-12.5763,13.4055,299.01,85,12,1.1,AO,1683827397
164,yeppoon,-23.1333,150.7333,291.03,76,19,7.58,AU,1683827398
165,pandan,14.0453,124.1694,299.73,84,51,3.65,PH,1683827399
166,afif,23.9065,42.9172,304.44,14,34,0.67,SA,1683827401
167,kill devil hills,36.0307,-75.676,296.16,48,0,5.66,US,1683827403
168,hawick,55.4227,-2.7867,287.98,83,69,3.96,GB,1683827404
169,mednogorsk,51.4128,57.595,282.36,80,75,3.8,RU,1683827405
170,pontevedra,42.431,-8.6444,292.67,52,4,4.35,ES,1683827406
171,chernyshevskiy,63.0128,112.4714,267.96,91,20,2.3,RU,1683827407
172,ciudad bolivar,8.1222,-63.5497,309.93,29,85,1.55,VE,1683827360
173,nemuro,43.3236,145.575,276.19,82,14,5.3,JP,1683827408
174,pimentel,-6.8367,-79.9342,302.31,58,0,8.75,PE,1683827409
175,olonkinbyen,70.9221,-8.7187,272.63,86,95,4.04,SJ,1683827410
176,kokoda,-8.8785,147.7407,297.46,95,100,0.34,PG,1683827411
177,east london,-33.0153,27.9116,290.67,82,0,4.12,ZA,1683827412
178,punta arenas,-53.15,-70.9167,282.21,71,0,3.09,CL,1683827308
179,longyearbyen,78.2186,15.6401,272.06,80,75,7.2,SJ,1683827414
180,puerto ayora,-0.7393,-90.3518,304.13,95,64,2.68,EC,1683827283
181,macusani,-14.0833,-70.4333,281.19,58,91,3.99,PE,1683827416
